host_timestamp_ns,red,infrared,ppg0,ppg1,ppg2,ambient,label
1783335103915100000,111692,72349,188917,141709,177071,1330,truth
1783335103915100000,111714,72349,188917,141709,177071,1330,truth
1783335103915100000,111714,72386,188917,141709,177071,1330,truth
1783335103915100000,111692,72361,188917,141709,177071,1330,truth
1783335103915100000,111714,72386,188917,141709,177071,1330,truth
1783335103915100000,111714,72398,188917,141709,177071,1330,truth
1783335103915100000,111736,72386,188917,141709,177071,1330,truth
1783335103915100000,111736,72373,188917,141709,177071,1330,truth
1783335103915100000,111714,72373,188917,141709,177071,1330,truth
1783335103915100000,111714,72398,188917,141709,177071,1330,truth
1783335103915100000,111692,72373,188917,141709,177071,1330,truth
1783335103915100000,111714,72410,188917,141709,177071,1330,truth
1783335103915100000,111757,72410,188917,141709,177071,1330,truth
1783335103958760000,111736,72410,189033,141789,177160,1376,truth
1783335103958760000,111736,72410,189033,141789,177160,1376,truth
1783335103958760000,111757,72410,189033,141789,177160,1376,truth
1783335103958760000,111736,72422,189033,141789,177160,1376,truth
1783335103958760000,111757,72410,189033,141789,177160,1376,truth
1783335103958760000,111714,72422,189033,141789,177160,1376,truth
1783335103958760000,111757,72386,189033,141789,177160,1376,truth
1783335103958760000,111779,72410,189033,141789,177160,1376,truth
1783335103958760000,111757,72422,189033,141789,177160,1376,truth
1783335103958760000,111757,72410,189033,141789,177160,1376,truth
1783335103958760000,111801,72446,189033,141789,177160,1376,truth
1783335103958760000,111757,72410,189033,141789,177160,1376,truth
1783335103958760000,111757,72422,189033,141789,177160,1376,truth
1783335103958760000,111779,72434,189033,141789,177160,1376,truth
1783335103958760000,111736,72434,189033,141789,177160,1376,truth
1783335103958760000,111779,72422,189033,141789,177160,1376,truth
1783335103958760000,111779,72422,189033,141789,177160,1376,truth
1783335104000320000,111757,72458,189049,141851,177243,1335,truth
1783335104000320000,111779,72422,189049,141851,177243,1335,truth
1783335104000320000,111757,72483,189049,141851,177243,1335,truth
1783335104000320000,111779,72446,189049,141851,177243,1335,truth
1783335104000320000,111779,72446,189049,141851,177243,1335,truth
1783335104000320000,111757,72471,189049,141851,177243,1335,truth
1783335104000320000,111801,72458,189049,141851,177243,1335,truth
1783335104000320000,111801,72458,189049,141851,177243,1335,truth
1783335104000320000,111822,72495,189049,141851,177243,1335,truth
1783335104000320000,111801,72446,189049,141851,177243,1335,truth
1783335104000320000,111822,72483,189049,141851,177243,1335,truth
1783335104000320000,111801,72495,189049,141851,177243,1335,truth
1783335104000320000,111779,72446,189049,141851,177243,1335,truth
1783335104000320000,111801,72495,189049,141851,177243,1335,truth
1783335104000320000,111822,72483,189049,141851,177243,1335,truth
1783335104000320000,111822,72507,189049,141851,177243,1335,truth
1783335104000320000,111779,72507,189049,141851,177243,1335,truth
1783335104037560000,111801,72507,189091,141882,177361,1345,truth
1783335104037560000,111822,72507,189091,141882,177361,1345,truth
1783335104037560000,111801,72519,189091,141882,177361,1345,truth
1783335104037560000,111822,72519,189091,141882,177361,1345,truth
1783335104037560000,111844,72507,189091,141882,177361,1345,truth
1783335104037560000,111801,72519,189091,141882,177361,1345,truth
1783335104037560000,111822,72519,189091,141882,177361,1345,truth
1783335104037560000,111822,72495,189091,141882,177361,1345,truth
1783335104037560000,111822,72531,189091,141882,177361,1345,truth
1783335104037560000,111822,72556,189091,141882,177361,1345,truth
1783335104037560000,111822,72507,189091,141882,177361,1345,truth
1783335104037560000,111844,72531,189091,141882,177361,1345,truth
1783335104037560000,111822,72531,189091,141882,177361,1345,truth
1783335104037560000,111822,72531,189091,141882,177361,1345,truth
1783335104037560000,111866,72556,189091,141882,177361,1345,truth
1783335104080130000,111844,72556,189172,141977,177501,1335,truth
1783335104080130000,111844,72531,189172,141977,177501,1335,truth
1783335104080130000,111866,72544,189172,141977,177501,1335,truth
1783335104080130000,111866,72568,189172,141977,177501,1335,truth
1783335104080130000,111866,72568,189172,141977,177501,1335,truth
1783335104080130000,111844,72556,189172,141977,177501,1335,truth
1783335104080130000,111866,72568,189172,141977,177501,1335,truth
1783335104080130000,111866,72556,189172,141977,177501,1335,truth
1783335104080130000,111866,72556,189172,141977,177501,1335,truth
1783335104080130000,111866,72592,189172,141977,177501,1335,truth
1783335104080130000,111866,72580,189172,141977,177501,1335,truth
1783335104080130000,111866,72605,189172,141977,177501,1335,truth
1783335104080130000,111866,72568,189172,141977,177501,1335,truth
1783335104080130000,111888,72580,189172,141977,177501,1335,truth
1783335104080130000,111866,72580,189172,141977,177501,1335,truth
1783335104080130000,111888,72592,189172,141977,177501,1335,truth
1783335104080130000,111866,72592,189172,141977,177501,1335,truth
1783335104129550000,111866,72605,189194,141971,177529,1320,truth
1783335104129550000,111866,72605,189194,141971,177529,1320,truth
1783335104129550000,111888,72617,189194,141971,177529,1320,truth
1783335104129550000,111888,72629,189194,141971,177529,1320,truth
1783335104129550000,111888,72605,189194,141971,177529,1320,truth
1783335104129550000,111888,72605,189194,141971,177529,1320,truth
1783335104129550000,111888,72605,189194,141971,177529,1320,truth
1783335104129550000,111931,72641,189194,141971,177529,1320,truth
1783335104129550000,111909,72641,189194,141971,177529,1320,truth
1783335104129550000,111909,72629,189194,141971,177529,1320,truth
1783335104129550000,111931,72641,189194,141971,177529,1320,truth
1783335104129550000,111909,72666,189194,141971,177529,1320,truth
1783335104129550000,111931,72641,189194,141971,177529,1320,truth
1783335104129550000,111888,72641,189194,141971,177529,1320,truth
1783335104129550000,111931,72666,189194,141971,177529,1320,truth
1783335104129550000,111953,72653,189194,141971,177529,1320,truth
1783335104129550000,111888,72653,189194,141971,177529,1320,truth
1783335104165040000,111931,72653,189054,141902,177401,1416,truth
1783335104165040000,111953,72653,189054,141902,177401,1416,truth
1783335104165040000,111931,72641,189054,141902,177401,1416,truth
1783335104165040000,111953,72666,189054,141902,177401,1416,truth
1783335104165040000,111909,72690,189054,141902,177401,1416,truth
1783335104165040000,111953,72678,189054,141902,177401,1416,truth
1783335104165040000,111931,72690,189054,141902,177401,1416,truth
1783335104165040000,111953,72678,189054,141902,177401,1416,truth
1783335104165040000,111953,72690,189054,141902,177401,1416,truth
1783335104165040000,111931,72678,189054,141902,177401,1416,truth
1783335104165040000,111909,72653,189054,141902,177401,1416,truth
1783335104165040000,111975,72702,189054,141902,177401,1416,truth
1783335104165040000,111953,72678,189054,141902,177401,1416,truth
1783335104165040000,111953,72690,189054,141902,177401,1416,truth
1783335104165040000,111953,72702,189054,141902,177401,1416,truth
1783335104165040000,111975,72702,189054,141902,177401,1416,truth
1783335104165040000,111953,72702,189054,141902,177401,1416,truth
1783335104207590000,111996,72690,188752,141701,177003,1393,truth
1783335104207590000,111953,72702,188752,141701,177003,1393,truth
1783335104207590000,111953,72690,188752,141701,177003,1393,truth
1783335104207590000,111953,72702,188752,141701,177003,1393,truth
1783335104207590000,111931,72702,188752,141701,177003,1393,truth
1783335104207590000,111975,72727,188752,141701,177003,1393,truth
1783335104207590000,111996,72739,188752,141701,177003,1393,truth
1783335104207590000,111975,72727,188752,141701,177003,1393,truth
1783335104207590000,111996,72715,188752,141701,177003,1393,truth
1783335104207590000,111996,72715,188752,141701,177003,1393,truth
1783335104207590000,111975,72739,188752,141701,177003,1393,truth
1783335104207590000,111953,72739,188752,141701,177003,1393,truth
1783335104207590000,111953,72739,188752,141701,177003,1393,truth
1783335104207590000,111975,72764,188752,141701,177003,1393,truth
1783335104207590000,111975,72751,188752,141701,177003,1393,truth
1783335104207590000,111996,72739,188752,141701,177003,1393,truth
1783335104207590000,111996,72751,188752,141701,177003,1393,truth
1783335104249710000,111975,72739,188623,141619,176853,1392,truth
1783335104249710000,111996,72751,188623,141619,176853,1392,truth
1783335104249710000,112018,72788,188623,141619,176853,1392,truth
1783335104249710000,112018,72800,188623,141619,176853,1392,truth
1783335104249710000,111996,72800,188623,141619,176853,1392,truth
1783335104249710000,111975,72776,188623,141619,176853,1392,truth
1783335104249710000,112018,72776,188623,141619,176853,1392,truth
1783335104249710000,112018,72788,188623,141619,176853,1392,truth
1783335104249710000,111996,72788,188623,141619,176853,1392,truth
1783335104249710000,112018,72776,188623,141619,176853,1392,truth
1783335104249710000,112018,72800,188623,141619,176853,1392,truth
1783335104249710000,111996,72776,188623,141619,176853,1392,truth
1783335104249710000,112018,72800,188623,141619,176853,1392,truth
1783335104249710000,112040,72825,188623,141619,176853,1392,truth
1783335104249710000,111996,72788,188623,141619,176853,1392,truth
1783335104249710000,112040,72788,188623,141619,176853,1392,truth
1783335104290850000,112018,72800,188540,141500,176716,1313,truth
1783335104290850000,111996,72825,188540,141500,176716,1313,truth
1783335104290850000,111996,72813,188540,141500,176716,1313,truth
1783335104290850000,112018,72813,188540,141500,176716,1313,truth
1783335104290850000,111996,72813,188540,141500,176716,1313,truth
1783335104290850000,111996,72800,188540,141500,176716,1313,truth
1783335104290850000,112018,72813,188540,141500,176716,1313,truth
1783335104290850000,111996,72813,188540,141500,176716,1313,truth
1783335104290850000,112018,72837,188540,141500,176716,1313,truth
1783335104290850000,111996,72825,188540,141500,176716,1313,truth
1783335104290850000,111975,72764,188540,141500,176716,1313,truth
1783335104290850000,111996,72764,188540,141500,176716,1313,truth
1783335104290850000,111975,72751,188540,141500,176716,1313,truth
1783335104290850000,111953,72715,188540,141500,176716,1313,truth
1783335104290850000,111909,72702,188540,141500,176716,1313,truth
1783335104290850000,111931,72653,188540,141500,176716,1313,truth
1783335104290850000,111866,72617,188540,141500,176716,1313,truth
1783335104328160000,111866,72592,188459,141483,176534,1365,truth
1783335104328160000,111801,72568,188459,141483,176534,1365,truth
1783335104328160000,111757,72483,188459,141483,176534,1365,truth
1783335104328160000,111757,72471,188459,141483,176534,1365,truth
1783335104328160000,111736,72422,188459,141483,176534,1365,truth
1783335104328160000,111714,72422,188459,141483,176534,1365,truth
1783335104328160000,111627,72349,188459,141483,176534,1365,truth
1783335104328160000,111649,72349,188459,141483,176534,1365,truth
1783335104328160000,111627,72289,188459,141483,176534,1365,truth
1783335104328160000,111563,72252,188459,141483,176534,1365,truth
1783335104328160000,111563,72228,188459,141483,176534,1365,truth
1783335104328160000,111519,72168,188459,141483,176534,1365,truth
1783335104328160000,111519,72180,188459,141483,176534,1365,truth
1783335104328160000,111519,72144,188459,141483,176534,1365,truth
1783335104328160000,111476,72120,188459,141483,176534,1365,truth
1783335104369650000,111476,72084,188328,141417,176467,1331,truth
1783335104369650000,111433,72048,188328,141417,176467,1331,truth
1783335104369650000,111411,72060,188328,141417,176467,1331,truth
1783335104369650000,111433,72036,188328,141417,176467,1331,truth
1783335104369650000,111455,72036,188328,141417,176467,1331,truth
1783335104369650000,111433,72024,188328,141417,176467,1331,truth
1783335104369650000,111433,72012,188328,141417,176467,1331,truth
1783335104369650000,111411,71976,188328,141417,176467,1331,truth
1783335104369650000,111455,71988,188328,141417,176467,1331,truth
1783335104369650000,111455,71976,188328,141417,176467,1331,truth
1783335104369650000,111411,71976,188328,141417,176467,1331,truth
1783335104369650000,111390,71964,188328,141417,176467,1331,truth
1783335104369650000,111411,72000,188328,141417,176467,1331,truth
1783335104369650000,111390,71988,188328,141417,176467,1331,truth
1783335104369650000,111390,71964,188328,141417,176467,1331,truth
1783335104369650000,111411,72012,188328,141417,176467,1331,truth
1783335104369650000,111433,72000,188328,141417,176467,1331,truth
1783335104369650000,111411,71976,188328,141417,176467,1331,truth
1783335104414870000,111368,72000,188412,141457,176496,1366,truth
1783335104414870000,111433,71988,188412,141457,176496,1366,truth
1783335104414870000,111411,72000,188412,141457,176496,1366,truth
1783335104414870000,111455,71988,188412,141457,176496,1366,truth
1783335104414870000,111433,72012,188412,141457,176496,1366,truth
1783335104414870000,111455,71988,188412,141457,176496,1366,truth
1783335104414870000,111411,71988,188412,141457,176496,1366,truth
1783335104414870000,111433,72000,188412,141457,176496,1366,truth
1783335104414870000,111411,72000,188412,141457,176496,1366,truth
1783335104414870000,111411,72000,188412,141457,176496,1366,truth
1783335104414870000,111455,71988,188412,141457,176496,1366,truth
1783335104414870000,111455,71988,188412,141457,176496,1366,truth
1783335104414870000,111433,71976,188412,141457,176496,1366,truth
1783335104414870000,111455,72000,188412,141457,176496,1366,truth
1783335104414870000,111455,72000,188412,141457,176496,1366,truth
1783335104414870000,111433,71982,188412,141457,176496,1366,truth
1783335104414870000,111411,72036,188412,141457,176496,1366,truth
1783335104466690000,111433,72000,188350,141386,176450,1390,truth
1783335104466690000,111455,71988,188350,141386,176450,1390,truth
1783335104466690000,111433,71988,188350,141386,176450,1390,truth
1783335104466690000,111433,71964,188350,141386,176450,1390,truth
